groserias,palabras_repetidas,caracteres_especiales,caracteres_especiales_repitidos,cantidad_numeros,palabras,tiempo_desde_ultimo_reporte_min,contiene_url,porcentaje_groserias,palabras_claves,cluster,distancia_centroide,nivel_riesgo,anomalia_if,score_anomalia_if,riesgo_if_0_1,nivel_riesgo_if,nivel_riesgo_final
0,4,1,0,2,17,86,0,0.0,3,0,2.713053997664167,bajo,0,0.07638545850587714,0.2006779464962836,bajo,bajo
0,1,0,0,2,15,62,0,0.0,3,0,0.8599179965809957,bajo,0,0.13029680471799449,0.051650452310374684,bajo,bajo
0,1,2,0,1,8,177,0,0.0,2,0,1.1143966052586467,bajo,0,0.14341591621702793,0.015385204825104911,bajo,bajo
0,4,1,0,1,19,48,0,0.0,5,0,3.718850919258976,bajo,0,0.02944411888602627,0.3304382049352344,bajo,bajo
0,2,0,0,0,8,214,0,0.0,0,0,3.084348542691248,bajo,0,0.08882654461893347,0.16628696911120824,bajo,bajo
0,0,0,0,2,15,200,0,0.0,6,0,3.679748897574681,bajo,0,0.047831703954086424,0.2796092807966766,bajo,bajo
0,2,0,0,1,13,42,0,0.0,3,0,0.7580400681758138,bajo,0,0.12812229648740875,0.05766145992676378,bajo,bajo
0,0,1,0,2,6,67,0,0.0,1,0,2.487933339581728,bajo,0,0.1227721581575047,0.07245088302364754,bajo,bajo
0,4,2,0,0,16,33,0,0.0,6,0,4.284245719902049,bajo,0,0.009291066197077202,0.38614742300249955,bajo,bajo
0,0,1,0,2,3,6,0,0.0,2,0,2.224462676782542,bajo,0,0.11000963646966616,0.10773040691363711,bajo,bajo
0,0,2,0,2,10,46,0,0.0,6,0,3.609360126026734,bajo,0,0.06541312347717543,0.23100884545514055,bajo,bajo
0,1,2,0,0,5,173,0,0.0,0,0,3.221556259414302,bajo,0,0.10462901603268532,0.12260409190257764,bajo,bajo
0,2,1,0,2,10,31,0,0.0,0,0,3.0215322582190764,bajo,0,0.10996529306986558,0.10785298566969273,bajo,bajo
6,3,7,6,2,9,26,0,66.666667,1,1,6.726087428460236,medio,1,-0.12483674480510776,0.7569178262428484,medio,medio
6,0,0,3,1,13,368,0,46.153846,3,1,7.899123040094317,medio,1,-0.11429069683560278,0.7277653154471438,medio,medio
0,0,2,0,1,12,224,0,0.0,6,0,3.603832045308743,bajo,0,0.05987382457293228,0.24632116639029397,bajo,bajo
0,0,0,0,2,19,86,0,0.0,3,0,1.999322338809576,bajo,0,0.06863900243758364,0.22209152671253002,bajo,bajo
0,1,0,0,2,5,43,0,0.0,2,0,1.549139781745662,bajo,0,0.12675426379094173,0.061443121841061286,bajo,bajo
0,2,0,0,0,14,166,0,0.0,0,0,3.0648948770111244,bajo,0,0.09318306341297011,0.1542442151296137,bajo,bajo
0,1,0,0,1,8,108,0,0.0,3,0,0.7719340025266096,bajo,0,0.1417171168497232,0.020081207255426826,bajo,bajo
0,1,0,0,2,6,129,0,0.0,5,0,2.580589095789776,bajo,0,0.09852769906169279,0.13947000313104937,bajo,bajo
0,0,0,0,1,15,160,0,0.0,0,0,3.282097066981976,bajo,0,0.07809424201853371,0.19595434482632257,bajo,bajo
0,4,0,0,2,17,152,0,0.0,0,0,4.002174172645315,bajo,0,0.031044134702886472,0.32601527053277457,bajo,bajo
0,0,0,0,1,5,180,0,0.0,1,0,2.5835574494561397,bajo,0,0.10388028497135315,0.12467381417310794,bajo,bajo
0,1,1,0,2,7,57,0,0.0,0,0,3.084724424662568,bajo,0,0.11654103725387616,0.08967561212953062,bajo,bajo
0,1,0,0,2,4,140,0,0.0,3,0,1.5144549095368405,bajo,0,0.11340515491582259,0.0983441526082496,bajo,bajo
0,1,2,0,2,8,200,0,0.0,3,0,0.7680175192537818,bajo,0,0.14171890677046323,0.0200762593655777,bajo,bajo
4,5,8,6,5,7,156,1,57.142857,0,1,4.704010098066344,medio,1,-0.14255684801890112,0.8059016258362954,medio,medio
6,7,14,0,1,8,120,0,75.0,3,1,8.080573417847823,medio,1,-0.1766892493528508,0.9002540506734069,alto,alto
2,2,2,5,0,3,183,0,66.666667,0,1,7.230944248330371,medio,1,-0.11500308458206587,0.7297345736497943,medio,medio
0,1,0,0,0,10,198,0,0.0,0,0,2.97809829805218,bajo,0,0.11349463100111501,0.09809681326843366,bajo,bajo
0,3,2,0,0,17,4,0,0.0,6,0,3.8917394009943806,bajo,0,0.035251867517338,0.3143838066276757,bajo,bajo
0,1,1,0,1,4,173,0,0.0,4,0,1.9617120382969124,bajo,0,0.11179781430046787,0.10278733500007997,bajo,bajo
0,3,0,0,1,16,104,0,0.0,4,0,2.2127934194669296,bajo,0,0.09199825459021688,0.15751939006680687,bajo,bajo
0,0,0,0,1,19,96,0,0.0,4,0,2.360532912097969,bajo,0,0.05671104633687518,0.255064055379391,bajo,bajo
0,0,1,0,0,12,41,0,0.0,4,0,1.772945434509155,bajo,0,0.12329428273124399,0.07100757057934128,bajo,bajo
0,1,2,0,1,19,11,0,0.0,0,0,3.3513964132615923,bajo,0,0.0641108419240351,0.23460875104505913,bajo,bajo
0,1,2,0,2,3,14,0,0.0,1,0,2.5387241886860537,bajo,0,0.10637780180654183,0.11776991171497135,bajo,bajo
1,5,7,7,1,10,92,0,10.0,0,0,5.526533378916591,medio,1,-0.13509769767493374,0.7852822467515349,medio,medio
0,4,0,0,2,19,22,0,0.0,5,0,3.7215504196677593,bajo,0,0.016767135839144243,0.3654812737890678,bajo,bajo
0,0,2,0,2,17,163,0,0.0,2,0,1.8843045577671,bajo,0,0.09213587520206346,0.15713896449087836,bajo,bajo
0,2,2,0,0,18,23,0,0.0,5,0,2.7686812975909803,bajo,0,0.0683784124647035,0.22281187731396931,bajo,bajo
0,3,1,0,0,13,56,0,0.0,6,0,3.7305466796393927,bajo,0,0.06865663223125296,0.22204279255621318,bajo,bajo
2,1,14,1,4,6,287,1,33.333333,3,1,8.107317779872023,medio,1,-0.13340795829898922,0.7806112889158043,medio,medio
0,0,2,0,0,11,115,0,0.0,3,0,1.249821143876037,bajo,0,0.12383542238551731,0.0695116946209914,bajo,bajo
0,1,1,0,1,6,180,0,0.0,4,0,1.6845397595938305,bajo,0,0.13057559230241345,0.05087979792989175,bajo,bajo
3,11,2,0,0,12,81,1,25.0,0,1,10.554072627356646,alto,1,-0.166593592669962,0.8723465595176031,alto,alto
0,2,1,0,2,8,134,0,0.0,4,0,1.5592612460677195,bajo,0,0.12048117414837073,0.07878386541213932,bajo,bajo
0,0,1,0,2,4,37,0,0.0,4,0,2.29005798397226,bajo,0,0.10418154510818572,0.12384103876598647,bajo,bajo
0,1,2,0,0,14,61,0,0.0,0,0,3.017760151453376,bajo,0,0.10847359494379066,0.11197649675650723,bajo,bajo
0,2,1,0,1,11,146,0,0.0,6,0,3.4405903405518776,bajo,0,0.09057206213888225,0.1614618233796943,bajo,bajo
0,0,0,0,2,13,91,0,0.0,1,0,2.284932292014678,bajo,0,0.10561105106354718,0.11988944591180045,bajo,bajo
0,3,2,0,2,19,19,0,0.0,2,0,2.3420731728914004,bajo,0,0.07354695206754636,0.20852444879045048,bajo,bajo
0,2,0,0,2,11,176,0,0.0,6,0,3.44350798720648,bajo,0,0.0769979844799003,0.1989847368577541,bajo,bajo
0,1,2,0,0,8,67,0,0.0,2,0,1.1143966052586467,bajo,0,0.14341591621702793,0.015385204825104911,bajo,bajo
0,0,1,0,2,18,119,0,0.0,3,0,1.841307686243029,bajo,0,0.09204608038546375,0.15738718490177453,bajo,bajo
0,1,2,0,1,7,38,0,0.0,5,0,2.503883888788259,bajo,0,0.10507716489151114,0.12136527102078566,bajo,bajo
0,3,1,0,2,18,99,0,0.0,2,0,2.2100819266507465,bajo,0,0.1024641323629713,0.12858849428110625,bajo,bajo
0,0,2,0,1,14,108,0,0.0,5,0,2.691241973661909,bajo,0,0.08829663356300355,0.1677518057802079,bajo,bajo
0,4,1,0,2,19,80,0,0.0,0,0,4.13400490799535,bajo,0,0.02103772827897399,0.35367604660195545,bajo,bajo
0,0,0,0,2,8,12,0,0.0,2,0,1.6260265794088598,bajo,0,0.12609920909533767,0.06325389390853092,bajo,bajo
0,1,0,0,0,19,34,0,0.0,3,0,1.6128355048506744,bajo,0,0.08785458167815152,0.16897377275614753,bajo,bajo
0,0,0,0,0,5,42,0,0.0,1,0,2.5835574494561397,bajo,0,0.10388028497135315,0.12467381417310794,bajo,bajo
0,0,0,0,1,14,130,0,0.0,5,0,2.6923622629905632,bajo,0,0.08742587370391225,0.17015885307091133,bajo,bajo
0,3,2,0,0,17,203,0,0.0,5,0,3.019453651488196,bajo,0,0.06748917861028275,0.22526999239327364,bajo,bajo
0,4,0,0,0,18,169,0,0.0,2,0,2.9221002086916346,bajo,0,0.0587925418194864,0.24931016352307675,bajo,bajo
0,0,0,0,2,5,154,0,0.0,5,0,2.918966076549578,bajo,0,0.07582894797395523,0.2022163122743162,bajo,bajo
0,4,1,0,2,18,105,0,0.0,2,0,2.9186613820688,bajo,0,0.07148452742251865,0.21422562300313708,bajo,bajo
0,3,2,0,1,18,100,0,0.0,1,0,2.788799002632755,bajo,0,0.08210364408260129,0.18487112793834393,bajo,bajo
