groserias,palabras_repetidas,caracteres_especiales,caracteres_especiales_repitidos,cantidad_numeros,palabras,tiempo_desde_ultimo_reporte_min,contiene_url,porcentaje_groserias,palabras_claves,cluster,distancia_centroide,nivel_riesgo,anomalia_if,score_anomalia_if,riesgo_if_0_1,nivel_riesgo_if,nivel_riesgo_final
0,4,1,0,2,17,86,0,0.0,3,0,2.713053997664167,bajo,0,0.0763854585058771,0.2006779464962836,bajo,bajo
0,1,0,0,2,15,62,0,0.0,3,0,0.8599179965809957,bajo,0,0.1302968047179944,0.0516504523103746,bajo,bajo
0,1,2,0,1,8,177,0,0.0,2,0,1.1143966052586467,bajo,0,0.1434159162170279,0.0153852048251049,bajo,bajo
0,4,1,0,1,19,48,0,0.0,5,0,3.718850919258976,bajo,0,0.0294441188860262,0.3304382049352344,bajo,bajo
0,2,0,0,0,8,214,0,0.0,0,0,3.084348542691248,bajo,0,0.0888265446189334,0.1662869691112082,bajo,bajo
0,0,0,0,2,15,200,0,0.0,6,0,3.679748897574681,bajo,0,0.0478317039540864,0.2796092807966766,bajo,bajo
0,2,0,0,1,13,42,0,0.0,3,0,0.7580400681758138,bajo,0,0.1281222964874087,0.0576614599267637,bajo,bajo
0,0,1,0,2,6,67,0,0.0,1,0,2.487933339581728,bajo,0,0.1227721581575047,0.0724508830236475,bajo,bajo
0,4,2,0,0,16,33,0,0.0,6,0,4.284245719902049,bajo,0,0.0092910661970772,0.3861474230024995,bajo,bajo
0,0,1,0,2,3,6,0,0.0,2,0,2.224462676782542,bajo,0,0.1100096364696661,0.1077304069136371,bajo,bajo
0,0,2,0,2,10,46,0,0.0,6,0,3.609360126026734,bajo,0,0.0654131234771754,0.2310088454551405,bajo,bajo
0,1,2,0,0,5,173,0,0.0,0,0,3.221556259414302,bajo,0,0.1046290160326853,0.1226040919025776,bajo,bajo
0,2,1,0,2,10,31,0,0.0,0,0,3.0215322582190764,bajo,0,0.1099652930698655,0.1078529856696927,bajo,bajo
6,3,7,6,2,9,26,0,66.666667,1,1,6.726087428460236,medio,1,-0.1248367448051077,0.7569178262428484,medio,medio
6,0,0,3,1,13,368,0,46.153846,3,1,7.899123040094317,medio,1,-0.1142906968356027,0.7277653154471438,medio,medio
0,0,2,0,1,12,224,0,0.0,6,0,3.603832045308743,bajo,0,0.0598738245729322,0.2463211663902939,bajo,bajo
0,0,0,0,2,19,86,0,0.0,3,0,1.999322338809576,bajo,0,0.0686390024375836,0.22209152671253,bajo,bajo
0,1,0,0,2,5,43,0,0.0,2,0,1.549139781745662,bajo,0,0.1267542637909417,0.0614431218410612,bajo,bajo
0,2,0,0,0,14,166,0,0.0,0,0,3.0648948770111244,bajo,0,0.0931830634129701,0.1542442151296137,bajo,bajo
0,1,0,0,1,8,108,0,0.0,3,0,0.7719340025266096,bajo,0,0.1417171168497232,0.0200812072554268,bajo,bajo
0,1,0,0,2,6,129,0,0.0,5,0,2.580589095789776,bajo,0,0.0985276990616927,0.1394700031310493,bajo,bajo
0,0,0,0,1,15,160,0,0.0,0,0,3.282097066981976,bajo,0,0.0780942420185337,0.1959543448263225,bajo,bajo
0,4,0,0,2,17,152,0,0.0,0,0,4.002174172645315,bajo,0,0.0310441347028864,0.3260152705327745,bajo,bajo
0,0,0,0,1,5,180,0,0.0,1,0,2.58355744945614,bajo,0,0.1038802849713531,0.1246738141731079,bajo,bajo
0,1,1,0,2,7,57,0,0.0,0,0,3.084724424662568,bajo,0,0.1165410372538761,0.0896756121295306,bajo,bajo
0,1,0,0,2,4,140,0,0.0,3,0,1.5144549095368405,bajo,0,0.1134051549158225,0.0983441526082496,bajo,bajo
0,1,2,0,2,8,200,0,0.0,3,0,0.7680175192537818,bajo,0,0.1417189067704632,0.0200762593655777,bajo,bajo
4,5,8,6,5,7,156,1,57.142857,0,1,4.704010098066344,medio,1,-0.1425568480189011,0.8059016258362954,medio,medio
6,7,14,0,1,8,120,0,75.0,3,1,8.080573417847823,medio,1,-0.1766892493528508,0.9002540506734069,alto,alto
2,2,2,5,0,3,183,0,66.666667,0,1,7.230944248330371,medio,1,-0.1150030845820658,0.7297345736497943,medio,medio
0,1,0,0,0,10,198,0,0.0,0,0,2.97809829805218,bajo,0,0.113494631001115,0.0980968132684336,bajo,bajo
0,3,2,0,0,17,4,0,0.0,6,0,3.8917394009943806,bajo,0,0.035251867517338,0.3143838066276757,bajo,bajo
0,1,1,0,1,4,173,0,0.0,4,0,1.9617120382969124,bajo,0,0.1117978143004678,0.1027873350000799,bajo,bajo
0,3,0,0,1,16,104,0,0.0,4,0,2.2127934194669296,bajo,0,0.0919982545902168,0.1575193900668068,bajo,bajo
0,0,0,0,1,19,96,0,0.0,4,0,2.360532912097969,bajo,0,0.0567110463368751,0.255064055379391,bajo,bajo
0,0,1,0,0,12,41,0,0.0,4,0,1.772945434509155,bajo,0,0.1232942827312439,0.0710075705793412,bajo,bajo
0,1,2,0,1,19,11,0,0.0,0,0,3.3513964132615923,bajo,0,0.0641108419240351,0.2346087510450591,bajo,bajo
0,1,2,0,2,3,14,0,0.0,1,0,2.5387241886860537,bajo,0,0.1063778018065418,0.1177699117149713,bajo,bajo
1,5,7,7,1,10,92,0,10.0,0,0,5.526533378916591,medio,1,-0.1350976976749337,0.7852822467515349,medio,medio
0,4,0,0,2,19,22,0,0.0,5,0,3.7215504196677593,bajo,0,0.0167671358391442,0.3654812737890678,bajo,bajo
0,0,2,0,2,17,163,0,0.0,2,0,1.8843045577671,bajo,0,0.0921358752020634,0.1571389644908783,bajo,bajo
0,2,2,0,0,18,23,0,0.0,5,0,2.7686812975909803,bajo,0,0.0683784124647035,0.2228118773139693,bajo,bajo
0,3,1,0,0,13,56,0,0.0,6,0,3.7305466796393927,bajo,0,0.0686566322312529,0.2220427925562131,bajo,bajo
2,1,14,1,4,6,287,1,33.333333,3,1,8.107317779872023,medio,1,-0.1334079582989892,0.7806112889158043,medio,medio
0,0,2,0,0,11,115,0,0.0,3,0,1.249821143876037,bajo,0,0.1238354223855173,0.0695116946209914,bajo,bajo
0,1,1,0,1,6,180,0,0.0,4,0,1.6845397595938305,bajo,0,0.1305755923024134,0.0508797979298917,bajo,bajo
3,11,2,0,0,12,81,1,25.0,0,1,10.554072627356646,alto,1,-0.166593592669962,0.8723465595176031,alto,alto
0,2,1,0,2,8,134,0,0.0,4,0,1.5592612460677195,bajo,0,0.1204811741483707,0.0787838654121393,bajo,bajo
0,0,1,0,2,4,37,0,0.0,4,0,2.29005798397226,bajo,0,0.1041815451081857,0.1238410387659864,bajo,bajo
0,1,2,0,0,14,61,0,0.0,0,0,3.017760151453376,bajo,0,0.1084735949437906,0.1119764967565072,bajo,bajo
0,2,1,0,1,11,146,0,0.0,6,0,3.4405903405518776,bajo,0,0.0905720621388822,0.1614618233796943,bajo,bajo
0,0,0,0,2,13,91,0,0.0,1,0,2.284932292014678,bajo,0,0.1056110510635471,0.1198894459118004,bajo,bajo
0,3,2,0,2,19,19,0,0.0,2,0,2.3420731728914004,bajo,0,0.0735469520675463,0.2085244487904504,bajo,bajo
0,2,0,0,2,11,176,0,0.0,6,0,3.44350798720648,bajo,0,0.0769979844799003,0.1989847368577541,bajo,bajo
0,1,2,0,0,8,67,0,0.0,2,0,1.1143966052586467,bajo,0,0.1434159162170279,0.0153852048251049,bajo,bajo
0,0,1,0,2,18,119,0,0.0,3,0,1.841307686243029,bajo,0,0.0920460803854637,0.1573871849017745,bajo,bajo
0,1,2,0,1,7,38,0,0.0,5,0,2.503883888788259,bajo,0,0.1050771648915111,0.1213652710207856,bajo,bajo
0,3,1,0,2,18,99,0,0.0,2,0,2.2100819266507465,bajo,0,0.1024641323629713,0.1285884942811062,bajo,bajo
